sabaeplan,num,year,nteam,team,title,proposal,summary,expectation,result1
11,4,2011,3,さくらんぼ,『さばえ』拡散計画inチャイナ,中国の学生を鯖江地場産業PR大使化する,《目的》鯖江の地場産業の海外進出の基盤をつくる⇒地場産業を売り込む前に、「鯖江」のネームバリューを上げる必要がある　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　◎鯖江地場産業PR大使 From 中国  ・中国人は高品質の製品を求めており、市場として有望  ・中国人学生は、「日本を理解したい」「地域の方々と交流したい」という要望を持っている  ①中国人学生を鯖江に招く  ②鯖江の良さを発見して中国に帰る  ③中国で鯖江をPRする「鯖江PR大使in中国」になる,・学生の受入を毎年継続することで、鯖江の良さを知る人が中国社会に出て行き、鯖江の中国社会での知名度アップにつながる　　　　　　　　　　　　　　　　　　　　　　　　・中国で鯖江のネームバリューが上がり、鯖江産業の海外進出の基盤づくりができる,一部採択
12,4,2011,4,ヨーグルト,『マンガで育てる鯖江の語りべ』,マンガ「さばえの宝探し」を活用して「サバ男」「サバ女」を育てる,《目的》内から内へ！そして、内から外へ！　　　　　　　　　　　　　　◎「サバ男」「サバ子」…鯖江にシビックプライドを持つ市民のこと  　　・シビックプライド＝市民が地元に対して持つ誇り・共感・愛着  　　　　⇒現在の鯖江市民には、共感と愛着はあるが具体的な誇りがない  ◎マンガ「さばえの宝探し」を発行  　　・小学校、中学校、高校に配布　（学校の中でマンガが読めることに魅力がある）  　　・鯖江を訪れた教員に配布し、鯖江のことを知ってもらう  　　・鯖江市の行う「ものづくり体験教室」とドッキングさせる  　　　　- ものづくり体験教室の事前学習・事後学習のツールとしてマンガを活用する  　　　　- ものづくり体験教室を通してマンガの内容を実体験することで、自分の言葉で鯖江の魅力を語ることができるようになる  　　「鯖江市民全員ミニ観光大使計画」  　　　　鯖江のことを熱く語れる「サバ男」「サバ子」でいっぱいになる,・若者が自分の言葉で鯖江の魅力を語れるようになる　　　　　　　　　　　　　　　　　　　　　・鯖江市民全員がミニ観光大使化する（サバ男とサバ子が増えてくる）  ・鯖江を一度離れた若者も、郷土愛が強いので鯖江に戻ってくる（新たなサバ男・サバ子を連れて）,一部採択
13,4,2011,5,ゴーヤ,『人を育てるまち・鯖江』-日本初・商店街型起業家支援センター-,「起業家支援センター」による空き店舗の活用と起業家支援,《目的》みなさんが商店街の主役になりましょう！　　　　　　　　　　　　　　◎鯖江独自の商店街型起業家支援センター  　　・商店街の空き店舗の活用  　　・チャレンジ市民の支援  　　　　① 起業支援（場所の支援、補助）  　　　　② 交流の場（主体的にまちづくり活動を行うための支援）  　　　　③ 発信の場（商店街全体にWi-Fiを整備するなど、情報環境の支援）  　　　　　　　　※②③は鯖江独自のスタイル  　　「単なる商いの場から、主体的に発信する場へ」,・空き店舗の有効活用法ができることで、商店街の未来が見えてくる　　　　　　　　　　　　　・起業したいと思う方々にチャンスができる,採択
14,4,2011,6,むしぱん,漆器＝'sabae'。,「漆器」の国際表記を'sabae'にする,《目的》漆器の国際表記を'sabae'にする　⇒鯖江の名を世界に広めて地場産業の強化・地域経済の活性化。＊地域活性化とは、鯖江市民が鯖江に誇りを持って元気に楽しく暮らしてもらえること　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　◎「漆器」＝LACQUERED WARE（塗装された製品）　⇒ 'sabae'　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　◎ルーブル美術館を 'sabae' ジャックする  　　'sabae' の高付加価値を決定付けるインパクトのある施策  　　　　・山車修復技術を活かして、マリーアントワネットの使用　　した漆器装飾品を再現  　　　　・世界的な販売ルートを開拓するきっかけづくりができる  　　　　・パリのセレクトショップへの営業を実施し、フランスの生活様式に合った製品を製作する,・鯖江の世界的な知名度が上がる　　　　　　・鯖江漆器のブランド化ができる（付加価値が上がる）  ・知名度が上がり、鯖江に誇りを持つ市民が増えることで地域が活性化される,一部採択
15,4,2011,7,夏みかん,鯖江観光プロジェクト！,鯖江の良さを活かした体験型旅行プラン,◎現状の鯖江のリソースを活かした体験型旅行プランの企画（例）　・結婚30周年記念プラン  　　　　　　・結婚記念日プラン  　　　　　　・メガネプラン  　・鯖江の強み（三大伝統産業、IT産業など）を十分に活かした旅行プランを企画する⇒ニューエルダー世代（元気で意欲的な50代以上の方々）のニーズとのマッチングを図る　　　　　　　　　　　　　◎観光プランのプロモーション方法  　　・関西方面からの観光客や、県内他市への観光客の取り込み  　　・IT技術の活用（twitter，facebook）  　　・都市圏の百貨店で開催される鯖江農産物販売店でPR,・鯖江市に観光客が増え、観光産業が発達し雇用が増える　　　　　　　　　　　　　　　　　　　　・鯖江の産業認知、観光業認知が広まる  ・市民がさらに誇りを持てる街になる,採択
16,4,2011,8,はまぐり,『サバンブスのたまご』,若い力と発想力で産業の活性化,《目的》「サバンブスのたまご」…コロンブスのたまごのように若い力と発想力からうまれたアイデアで鯖江産業の底力を再発掘する　　　　　　　　　　　　　　　　　　　　　◎学生　×　企業  　　・理系大学(院)生、マーケティング専攻学生、デザイン専攻学生×企業の高度な技術  　　　　　⇒　異質な他者が鯖江で交流することで斬新なアイデアが生まれる  　　・大学生、大学院生と企業とをマッチングさせ、各企業の技術を用いた新事業領域を発見する  　　・マッチングの方法  　　　　- 学生はエントリーシートを提出し、企業担当者は全エントリーシートに目を通す  　　　　- 行政がマッチングに関わる,・新事業領域の発見・新事業における指針の確立ができる　　　　　　　　　　　　　　　　　　・伝統産業の衰退防止  ・学生たちが後継者になる可能性  ・後継者が産業を守り発展させる、魅力ある鯖江市になる,一部採択
17,5,2012,1,いちじく,世界一うまい“吉川なす”を全国民に食べさせる,吉川ナスのブランド力向上と供給の確保を図る,◎吉川ナスを広めるために…  ①需要の拡大  ・供給よりも需要を高め、市場において優位に立つ（ブランド力を高める）  ・さばえブランド大使を活用する（例：吉川ナスを世の中に広める会議を開催）  ②供給の確保  ・後継者育成⇒吉川ナス農家の徳橋さんのファン作り  →徳橋さんの指導による、質の良い吉川ナスの生産  ・後継団体“吉川なす”の結成（世界一うまいなすを作る後継者を集める団体）  ③ブランド統制  ・KeepBeginの浜田さんによるブランド統制,・吉川ナスのブランド力が向上する  ・質の良い吉川ナスの安定供給が行えるようになる  ・吉川ナスを全国で食べさせることができる,一部採択
18,5,2012,2,にぼし,宇宙シェア100%への挑戦！,宇宙飛行士の使用する眼鏡を100％鯖江産にする,◎宇宙で使われるメガネを、全て鯖江産のものにする  ・宇宙飛行士の視力は矯正でもOK  ・現在はオーストリアのシルエット社が先行している  →シルエット社のメガネは口コミで宇宙飛行士の間に広まった  →鯖江産のメガネが使用される可能性は十分ある  ◎宇宙のメガネ＝「軽い」「強い」「すべらない」ことが条件  ・「軽い」「強い」⇒受託製造で培ったチタン加工技術  ・「滑らない」⇒鯖江の鼻パッド製作技術は1級品（シリコン、べっ甲など）  ◎メガネ産業界への影響  宇宙用製品や高級商品の販売によるブランドイメージの付加  ◎応用可能性  高級スポーツグラス等、激しい使用にも耐えられる商品への展開  ※第5回地域活性化プランコンテスト　最優秀賞・オーディエンス賞,・鯖江産メガネのブランドイメージの向上  ・新たな市場の開拓,一部採択
19,5,2012,3,さやえんどう,フィギュア浄瑠璃,フィギュアを使用し、現代語で浄瑠璃を演じる,◎浄瑠璃を親しみやすいものに  ①人形としてフィギュアを使う  ・関節・手先の動くフィギュアもあるので、細かい動きを表現することが可能  ②内容を現代語で表現  ・河原雅彦さん（鯖江市出身の脚本・演出家）に協力を依頼  ③太夫の語りのリズムはそのままに  ④音楽は、主旋律を変えず、現代風にアレンジをする  ・和楽器→洋楽器による和音の導入  ◎2013年は近松門左衛門生誕360周年  ・鯖江人形浄瑠璃「近松座」がフィギュア浄瑠璃を演じる  ・会場：鯖江文化センター  ※第5回地域活性化プランコンテスト　優秀賞,・浄瑠璃に親しむ人が増える  ・フィギュア浄瑠璃をきっかけに、鯖江に興味を持つ人が増える,不採択
20,5,2012,4,しいたけ,鯖江クラファン計画,クラウドファンディングを活用して、産業の活性化を図る,◎産業の活性化が課題  市民の声：知名度が低い、活気のある街にしたい  ◎クラウドファンディング  →多くの人から少しずつお金を集めるシステム  商品やサービスの提供者に対して共感した人、興味を持った人が支援者としてお金を出す  ・新製品開発支援、既存製品改良支援、市民活動支援　など  ・既存のサイトを利用して運営  ①国内向け：CAMPFIRE  ②海外向け：kickstarter  ③超イノベーティブ新事業の実施（スマートグラス等）,・産業界の資金不足を解消できる  ・新製品開発や新事業の積極的な実施ができる,不採択
21,5,2012,5,ごまだんご,全世界　鯖江愛好家計画,ドイツのベルリンでサバエドッグの早食い選手権を開催する,◎鯖江のファンを全世界に増やそう  ・ヨーロッパ軒のソースカツ丼…1913年誕生  （ドイツのベルリンで修行した高畠さんが考案）  →2013年はソースカツ丼ができて100年の記念の年  ・鯖江のソースカツ丼＝サバエドッグ  ◎サバエドッグ早食いコンテスト＠ベルリン  ・世界の見本市・展示会であるベルリン国際緑の週間で  　サバエドッグ早食いコンテストを開催  ・2013年度にベルリンで開催して知名度を上げ、翌年度からは鯖江で早食い選手権を開催,・毎年実行することで、鯖江市へ来る人が増加する  ・サバエドッグを通して、鯖江の地名度アップを図れる,不採択
22,5,2012,6,ロールキャベツ,Harajuku Jack,原宿キャットストリートを鯖江産眼鏡をかけたモデルが歩く,◎原宿キャットストリート　×　sabaeメガネ　×　モデル40人  ・原宿キャットストリートを、日曜の昼３時間、sabaeメガネを掛けた40人の読者モデルが闊歩  ・腕には「sabae」の文字  →見た人の好奇心を刺激し、sabaeについて検索するきっかけになる  →東京に「sabae」＝「お洒落」を知らしめる  ◎今後の展開  ・「sabae」＝「お洒落」のイメージを強みに、デザイン重視でセレクトショップに売り込む,・鯖江産メガネのブランド力が上がる  ・セレクトショップに鯖江産メガネが並び、若者のファンが増える  ・鯖江産メガネの売り上げが向上する,不採択
23,5,2012,7,菜花,さばえのわかものを魅ろ！　～地域で育てんともったいないが！～,誠市を若者が楽しめるものにする,◎鯖江が好き、不満はない、が鯖江には「何もない」という声  「何もない」＝若者のニーズに合うものが「何もない」  ◎若者のニーズに基づいたイベント作り  対象：大学在学～結婚前、鯖江市在住、鯖江に不満はないが魅力も感じていない若者  目的：若者が「鯖江の魅力を　知って、感じて、語れる」ようになる  ①若者のニーズに見合った企画を実施する  ②企画に来た若者が鯖江の魅力に気付く  ③若者がまちづくりに主体的に取り組むようになる  ◎誠市を、若者が楽しめるものにする  ・例：境内でバンド演奏・ダンス発表、鯖江のおのろけ大自慢、漫才、出店　等  ・地元のおじちゃん、おばちゃんとの井戸端コミュニケーションが発生する,・若者が鯖江の魅力を語れるようになる  ・年配の方と若者との触れ合いの機会ができる,一部採択
24,5,2012,8,パパイヤ,鯖エージェント,小学生10人が鯖エージェントになり、鯖江を良くするミッションをクリアしていく,◎将来まちづくりの担い手となる若者を創出する  ・定住を選ぶ若者が減っていることへの対策  →小さい頃から鯖江への地元愛を育てる  鯖江に対する機能的価値（知識・経験等）と情緒的価値（好き・楽しい等）を子どもたちに身につけさせる  ◎鯖エージェント  入隊資格：小学校1年生～6年生　　10名  活動日時：毎週日曜　10時～  アジト：らてんぽ  ミッション：鯖江のまちづくり・産業などにかかわる課題  報酬：ハピー,・子どもの情報収集能力、課題処理能力を市政に活かすことができる  ・小学生の地元愛が深まる  ・将来、まちづくりの担い手となる子どもを育てることができる,一部採択
25,6,2013,1,いくら,楽しくおでかけ！このゆび止まれ,高齢者を対象にしたアプリを作成し、気軽に出かけることの出来る仕組みを作る,◎鯖江にずっと住む高齢者のために  ・元気な高齢者が助けを必要としている高齢者を支える  ◎アプリ「このゆびとまれ」  ・見やすくシンプルな画面  ・「Live」機能  →押すことで行政や家族に送られ、元気でいることが分かり、ポイントも加算される  ・「送って」「行くよ」「遊ぶ」機能  →施設への送迎や集まりへの参加など意思表示が出来る方も不自由なく過ごすことが出来る。  ・アプリを活用して出かけるたびに「1Live」が加算され、まちとつながって活動していることが分かる,・高齢者同士で助け合うことで、元気な方はさらに元気に、体をこわした方も不自由なく過ごすことが出来る。  ・まちで支えながら多くの人がつながる。,不採択
26,6,2013,2,肉じゃが,Labo!!さばえ,合宿をして鯖江市を題材にした卒業論文を制作し、コンテストを行う,◎鯖江市には卒業論文の題材が多い  ・データシティ最先端のまち  ・市民活動のまち  ・眼鏡・漆器・繊維などの産業のまち  ・ほかにも治水や雪害など  →鯖江市全体が研究所  ◎鯖江で卒論を書くしくみ,・訪れた学生がまた鯖江に来たいと思うようになる  ・鯖江を研究する学生を通して市民が鯖江の将来に興味を持つ,一部採択
27,6,2013,3,ミント,水のまち”さわえ”,許佐羅江清水の炭酸水に菜花のエキスを加えて商品化する,◎鯖江の炭酸水、許佐羅江清水  ・船津七清水のひとつで、「福井のおいしい水」に認定  ◎炭酸水の効果  ・飲む効果・・・飲みやすく、便秘改善、ダイエット  ・料理効果・・・根菜類が早くやわらかくなる  ・入浴効果・・・血流が良くなる、高血圧に効く  ・掃除効果・・・汚れが落ちやすい  ◎ターゲットは美容・健康の意識が高い女性  ※第６回地域活性化プランコンテスト　最優秀・オーディエンス賞,・鯖江のイメージを「自然が豊かで健康的なまち」にする  ・購入した水を通して鯖江に観光客が訪れる,一部採択
28,6,2013,4,しらたま,河和田の漆器を売る方法を考えました,子供がいる３０代の女性をターゲットに漆器を売る,◎漆器×こども→「うつわ」  ・健康意識の高まり、育児出費のハードルが低い  ◎ターゲットは子どもを持つ30代女性  ・食の安全に対する意識が高い  ◎うつわの制作  ・開発は市と問屋、職人の3者  ・制作は手作り、多様性  ◎うつわの特長  ・食器や教材、贈り物として,・漆器に愛着を持ち、生活に根付く,一部採択
29,6,2013,5,五穀米　,鯖江セレクト図書分館,JR鯖江駅の空きスペースを活用し、文化の館の分館として本の貸し出しを行う,◎鯖江セレクト図書分館  ・文化の館の分館と位置づけ、選出した本の貸し出し・返却のサービスを行う  →季節ごと日本を入れ替える  ◎本のセレクト方法  ・近松文学賞の審査員と協力  ・市民の投票  ◎利用者層  ・近隣住民、通勤、通学者など  →自習用の机も設置  ＊第６回地域活性化プランコンテスト　優秀賞,・駅に行く楽しみが増える  ・JR鯖江駅周辺の賑わい創出,一部採択
30,6,2013,6,ムール貝,もちマッチング?伝統×出逢い?,おこない」を通した男女の出逢いの場を提供する,◎市東部の「おこなう」を通した出逢いの場  ・男性が自分のIDがついた餅を投げる  ・女性は拾った餅に書かれたIDをウェブサイトで入力してプロフィールをゲットできる  →ウェブサービス上で情報のやり取り  ◎ターゲットはパートナーのいない方  ・男性は鯖江市内の20代  ・女性は市内外を問わず20代  時期：お盆や正月  場所：西山  ＊第６回地域活性化プランコンテスト　優秀賞,・「おこない」という伝統が広まる  ・鯖江市が家族の愛にあふれるまちになり、活性化する,不採択
31,6,2013,7,ナポリタン,SABA-Education,高校生が企画・立案して誠市の屋台経営を行う,◎鯖江で育ってよかったと思える  ・「鯖江の○○に愛着を持っています」  ◎教育に注目  ・自分の頭で考えるという経験を高校生の頃からしてもらいたい  →鯖江を教育先進国に  ◎SABA-Education  ・誠市の屋台の経営を高校生に一任  →マインド、スキル、知識、実践力が身に付く  ・地元の社長がメンターとして指導  ＊第６回地域活性化プランコンテスト　優秀賞,・高校生が鯖江に愛着を持つようになる,一部採択
32,6,2013,8,はんぺん,電脳サバゲー?鯖江に若者を呼び込む?,西山公園やJR鯖江駅でCG映像を使ったサバイバルゲームを開催する,◎鯖江を戦場にしたサバイバルゲーム  ・若者に人気（若者が集まるように）  ◎電脳サバゲー  ・AR（拡張現実）をつかったサバイバルゲーム  →スマートフォンやタブレットを通して画面を見ることで実際には見えないものが映し出される  開催場所：JR鯖江駅、西山公園  ◎鯖江でやる理由  ・電脳メガネのまち  →電脳メガネサミット  ・ブランディングしやすい  →SABAE（さばえ）　SABAGE（鯖ゲー）,・鯖江が若者にあふれる街になる  ・鯖江市の知名度が上がる,一部採択
33,7,2014,1,イカスミ,超一丸地方都市鯖江,東京にいる鯖江出身者のつながりを広げ、鯖江に人が戻るきっかけをつくる,東京に出た大学生は鯖江市とのつながりがなくなる ⇒福井の県人寮を活用 例）明倫学舎：福井県出身の男子学生寮で毎年新入生が入り、いつでも会議ができる ⇒二世の会をつくる・・・鯖江市内で自営業を営んでいる親を持つ人たちの会 活動内容：実家の家業の悩みや問題についてじっくり話し合うことができる 目的：定期的な関わりを持つことで、鯖江にいなくても鯖江とつながっていられる ⇒武田舞彩さん（鯖江市出身でアイドルグループGEMのセンター）を応援することでつながる ・GEMの衣装シェア100％：鯖江産繊維を提供して衣装を作る ・鯖江の人や団体で応援するファンクラブを結成する ・一日市長や吹奏楽フェスティバルに呼ぶ ○市民が一人ひとりお互いにつながることで人が戻る,・一人ひとりが鯖江とのネットワークを維持する中で鯖江に人が戻るきっかけになる,採択
34,7,2014,2,煮たまご,夫婦しあわせ講座,夫婦を対象にした講座を開き、相互理解を深めて離婚率を減少させる,福井県内９市のうち、鯖江市の婚姻率は７位、離婚率は１位（平成22年度） 離婚する夫婦の６割は結婚から５年以内 ⇒５年間夫婦しあわせ講座開講 ５年を乗り越えれば離婚率を減少させられる ①互いの価値観を共有する 結婚を決めた理由を再確認し、相手の考えをきいて相互理解を深める →こんな人だと思わなかったという事態を回避 ②５年間の生活ビジョンの可視化 人生設計のプロフェッショナルである生命保険会社が講義を担当する ⇒夫婦が長続きして出生数が増加する,・夫婦仲を良好にすることで出生数が増加し、鯖江市の人口増につながる,一部採択
35,7,2014,3,桜餅,鯖江発○○向け眼鏡ブランド「ぐらすこ」,ペット用の鯖江オリジナル眼鏡ブランドをつくる,眼鏡をかけるのは人間だけなのか →ペット用眼鏡 アメリカのBarkerというペット向けファッションメガネ会社が創業１年で年商10億を達成 先進市場 ・DOGGLES：犬用ゴーグル、ホコリや紫外線から守る ・WARBY BARKER：かわいさを追求したモデル ペット用眼鏡の消費者が求めていること ①ぴったりしていて外れないこと→鯖江に利点 ②ペットにとって異物感がないこと→鯖江に利点 ③ビジュアルやかわいさ 目標 ・世界中のペットが鯖江の眼鏡を使う ・犬用ウェアラブルメガネの開発により人間と犬が思いを通わせることができる ※第７回地域活性化プランコンテスト 最優秀賞・オーディエンス賞,・ペット用オリジナル眼鏡が普及することにより鯖江の技術のすばらしさが広まり、誇りが持てる,採択
36,7,2014,4,ししゃも,sava e dance?～商店街の異空間、非日常へ～,満月の夜に商店街で仮面舞踏会を開催し、素性を隠してトークゲームなどをする,"満月の夜に商店街に集い仮面舞踏会を行う ・素性を隠してトークゲーム ・仮面ミスコン ・正体当てゲーム ・仮面合わせ ・ジャズライブ・・・ムードを高める ⇒仮面を合わせることで眼鏡のつけ心地の良さを実感できる ⇒いままで眼鏡をつけなかった人も眼鏡をかける機会が増える 参加方法 商店街加盟店での合計1,500円分の買い物で「仮面」が１枚もらえる 当日券は2,000円で購入できる 対象：20歳以上の独身男女 ⇒商店街の日常的な買い物につながる ⇒若者の出会いが生まれる",・商店街での買い物によって仮面舞踏会の参加券を得られるという仕組みにすることで商店街での 日常的な買い物につなげることができる。 ・20歳以上の男女を呼び込むことで出会いが生まれ、商店街にネットワーク、コミュニティ機能をもた らす。,一部採択
37,7,2014,5,ごはん,移住？　河和田でしょ,河和田地区への移住サポートやアフターケアを行う「ヨソモノ課」をつくる,河和田地区 ・自然、伝統、アートキャンプなどの魅力がある ・人のあたたかさ、住みやすさがある ・移住先進地である徳島県神山町と似ている（中山間地域、ICT、オープンな雰囲気など） 全国的に地方へ移住したい若者が増えてきている ・自然の多いところで子育てがしたい、制作活動がしたい 鯖江市の情報量が少ない ・古民家が多いのにもったいない ・空き家バンクがあるのにうまく活用できていない ・河和田ならではのさまざまな魅力とマッチした移住の推進体制がとられていない ◎ヨソモノ課・・・移住した方で作る団体でJK課やOC課のようなもの ・移住サポート：河和田の魅力発信、移住希望者の電話相談に応じる、活動をブログで発信 ・アフターケア：移住後の悩みを共有し、相談相手になる、イベントに一緒に参加するなど,・魅力的な人が河和田地区に移住し人口増加につながる,一部採択
